strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Purple Punch OG,Sweet Seeds,"New hybrid strain from Purple Punch and Star Killer clones, indica dominant with high terpene levels, sweet aroma, and relaxing effects. THC 18-22%, CBD 0.5%.",9.76,,,1 Single Feminised Seed (GBP 9.76) | 3 Feminised Seeds (GBP 24.40) | 5 Feminised Seeds (GBP 40.60) | 25 Feminised Seeds (GBP 192.85) | 50 Feminised Seeds (GBP 365.40),https://www.seed-city.com/sweet-seeds/purple-punch-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_Punch_OG_60bf7d580ce7e_120x140.jpg&newxsize=120&newysize=140&fileout=,"This new hybrid strain emerges from crossing Purple Punch (Larry OG x Grand Daddy Purple) with Star Killer (Skywalker OG Kush x Rare Dankness #2), both highly prestigious in the global cannabis market. It predominantly leans towards indica with a compact growth structure, producing dense buds heavy with aromatic resin, ideal for extraction. Its buds may exhibit purple or reddish tones, a nod to its Grand Daddy Purple lineage.
The strain boasts a sweet and complex aroma with spicy OG Kush and lemon hints. It delivers an intense, relaxing effect, aligning with its indica dominance.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,Relaxing,"Lemon, Spicy, Sweet",,,,"18-22% · CBD: 0,5%",,,,,,,Short (up to 55 days),Middle of September,,,,In Stock,,
Buddha Auto Diesel,Buddha Seeds,"Classic strain with mysterious origin, resinous buds, diverse flavors. Easy to grow, adaptable to climates, high yielding.",15.76,,,3 Feminised Seeds (GBP 15.76) | 10 Feminised Seeds (GBP 51.04) | 50 Feminised Seeds (GBP 242.44) | 100 Feminised Seeds (GBP 459.36),https://www.seed-city.com/buddha-seeds/buddha-auto-diesel,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBuddha_Auto_Dies_612907bf6584c_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Sativa Dominant,Autoflowering,,"Indoor, Outdoor",Normal,"Cerebral, Creative, Social","Citrus, Earthy, Grapefruit, Lemon","Psychoactive, creative and sociable",,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Sour Diesel Auto,Seed Stockers,"Potent strain with diesel aroma, heavy yields, strong scent. Easy to grow indoors, high THC levels, citrus, earthy flavor.",20.6,,,3 Feminised Seeds (GBP 20.60) | 5 Feminised Seeds (GBP 30.80) | 25 Feminised Seeds (GBP 124.20) | 125 Feminised Seeds (GBP 589.96) | 250 Feminised Seeds (GBP 117.80),https://www.seed-city.com/seed-stockers/sour-diesel-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSour_Diesel_Auto_619e8e3debcc9_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,,"Citrus, Earthy, Fuel, Spicy",Active,,Citrus Earthy Spicy,High (23 - 26%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,
SALE - Tangie Punch - Growers Choice,Cannabis Seed Sale Items,"High THC, lime and mandarine flavors, sativa-like growth, Scrog/Sog suitable, high mold resistance, fruity and sweet taste.",8.64,14.4,40.0,3 X 1 Single Feminised Seed (GBP 8.64),https://www.seed-city.com/cannabis-seed-sale-items/sale-tangie-punch-growers-choice,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTangie_Punch_6092fa9b83203_120x140.jpg&newxsize=120&newysize=140&fileout=,"The tangerine, renowned for its high-quality genetics, is the base for this exceptional mix, offering a fresh lime and mandarine flavor combined with the fruity essence of purple punch. This provides a sweet and fresh cannabis experience, particularly enjoyable during hot summer days. Its growth pattern leans more towards a sativa, characterized by its long and stretchy stature, making it ideal for Scrog and Sog gardening techniques. Despite its slim profile, the plant features a large main cola and 10 to 12 side branches, ensuring it occupies minimal space.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,,"Fruity, Lime, Sweet",,Can take warm and cold climates,,25-30%,Medium,550-650 grams /m2,,110cm - 130cm,150cm - 220cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,,,,In Stock,Cannabis Seeds Currently on Sale,
Big Bud Autoflower,Nirvana Seeds,"Highly productive strain with vintage flavor. Ideal for big yields and easy cultivation. Relaxing effects, good for stress and depression.",14.8,,,3 Feminised Seeds (GBP 14.80) | 5 Feminised Seeds (GBP 22.40) | 10 Feminised Seeds (GBP 40.20) | 50 Feminised Seeds (GBP 190.95) | 100 Feminised Seeds (GBP 361.80),https://www.seed-city.com/nirvana-seeds/big-bud-autoflower,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fbig_bud_Autoflow_61dc7cb17ac2a_120x140.jpg&newxsize=120&newysize=140&fileout=,"You can expect monster yields and old school funk from Big Bud, a three-way hybrid designed for maximum production and resilience, making it an ideal choice for cash croppers. With its short flowering times and commercial scale harvests, Big Bud is highly lucrative, yielding up to 500 gr/m2 indoors and even larger harvests outdoors without suffering from mold due to its environmental resistance.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Normal,"Body Stone, Depression, Insomnia, Relaxing, Stress Relief","Earthy, Floral, Sweet",Relaxed/Sleepy/ Euphoric,,Sweet/Earthy/Flowery,13% - 17%,0.1% - 1%,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Rotten Apple,Perfect Tree Seeds,"New cultivar from Perfect Tree, fuel and gas terps with sweet apple aroma. Easy to grow with sticky buds.",55.0,,,6 Feminised Seeds (GBP 55.00) | 30 Feminised Seeds (GBP 261.25) | 60 Feminised Seeds (GBP 495.00),https://www.seed-city.com/perfect-tree-seeds/rotten-apple,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRotten_Apple_621e63155b415_120x140.jpg&newxsize=120&newysize=140&fileout=,"Rotten Apple, a product of the Jet A reversal project by Perfect Tree, is a cross between Lemon Butter Cream and Jet A reversal. Incorporating the intense fuel and gas terpenes of Triangle Kush & Jet A with the Sour Apple has resulted in an exotic and fermented apple fragrance, reminiscent of the aroma around apple trees pre-harvest. The strain is praised for its easy cultivation, generally short to medium height, and the production of sticky, chunky buds with few phenotypical variations. A lucky grower might find a phenotype so appealing they'd wish to keep it permanently.",,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,"Fruity, Fuel, Gassy",,,,,,,,,,,Medium (56 to 90 days),,8 Weeks,,,In Stock,,Most Popular Cannabis Seeds
Forbidden Runtz,Growers Choice,"High-terpene strain with up to 28% THC, dominant indica effects, fruity profile. Easy to grow, 8-week flowering time.",16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/growers-choice/forbidden-runtz,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FForbidden_Runtz_6234a2fb17e38_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Fruity, Sweet",,Can take warm and cold climates,,25-30%,Medium,550-650 grams /m2,,90cm - 120cm,150cm - 200cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,,,,In Stock,,
White Noise,Paradise Seeds,"Classic strain with modern twist, high resin, enhanced flavors, great resistance. Suitable for indoor/outdoor, short flowering time, high yields.",45.0,,,5 Feminised Seeds (GBP 45.00) | 10 Feminised Seeds (GBP 80.00) | 50 Feminised Seeds (GBP 380.00) | 100 Feminised Seeds (GBP 720.00),https://www.seed-city.com/paradise-seeds/white-noise,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWhite_Noise_6238970a54f6f_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,"Cerebral, Euphoric","Citrus, Earthy, Minty, Nutty, Piney, Sweet",,,,,,,,,,,Medium (56 to 90 days),Beginning of October,8-9 Weeks,,,In Stock,,
Gorilla Zkittlez Auto,FastBuds,Powerful strain with up to 25% THC. Unique terpene profile. Ideal for all-day use.,32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/gorilla-zkittlez-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGorilla_Zkittlez_624c68a0c2296_120x140.jpg&newxsize=120&newysize=140&fileout=,"Taste real power with Gorilla Zkittlez Auto, the new-school hybrid that combines a strong, joyful head high that boosts creativity before turning into a long-lasting body stone. With up to 25% THC and yields up to 550gr/m2 in just under 65 days, this Indica-dominant hybrid is a top choice for extractors and hash makers. Its unique terpene profile offers a mix of old-school flavors with a modern fruity candy twist.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Creative, General Pain, Happy, Insomnia, Narcotic, Relaxing","Citrus, Earthy, Fruity, Lemon, Orange, Spicy, Sweet, Woodsy",,,,Up to 25%,< 1%,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
White Widow Auto,Barneys Farm Seeds,"Versatile, mold-resistant strain with quick flowering time. Large buds with pungent, citrus aroma.",27.2,,,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/barneys-farm-seeds/white-widow-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWhite_Widow_Auto_62681c78bd34d_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,Feminised,,"Indoor, Outdoor",Normal,,"Citrus, Earthy, Fruity, Piney, Skunky, Spicy, Sweet","Creative, Uplifting, Energetic, Talkative, Euphoric","Cool, Hot & Temperate",,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Strawberry Gorilla Auto,FastBuds,"High-yielding strain with 27% THC. Berry and diesel flavor, creative and relaxing effects. Recommended for experienced growers.",32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/strawberry-gorilla-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FStrawberry_Goril_62697229d0ebc_120x140.jpg&newxsize=120&newysize=140&fileout=,"Strawberry Gorilla Auto stands out with a commendable yield up to 600gr/m2 in just 70 days, reaching heights of up to 150cm. Suited for the more experienced grower, this strain boasts a balanced hybrid experience with a strong 27% THC level. It offers a unique berry and diesel flavor profile, leading to a potent mix of euphoria and relaxation, effectively alleviating muscle pain.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Creative, Happy, Relaxing","Berry, Fuel, Gassy, Piney, Skunky, Strawberry, Sweet",,,,Up to 27%,< 1%,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Rainbow Glue Auto,Auto Seeds,High yielding strain with 20% THC. Energizing effects followed by indica body effects. Pungent candy-fruit aroma with tropical and sour notes.,19.0,,,3 Feminised Seeds (GBP 19.00) | 5 Feminised Seeds (GBP 27.80) | 25 Feminised Seeds (GBP 132.06) | 50 Feminised Seeds (GBP 250.20),https://www.seed-city.com/auto-seeds/rainbow-glue-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRainbow_Glue_Aut_6272b591bf587_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Body Stone, Euphoric, Motivational, Uplifting","Fruity, Lemon, Lime, Pineapple",,,,20%,Less than 1% CBD,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Valencia Seeds - Runtz,Seed City Bulk Cannabis Seeds,"Captivating strain with efficient growth, short flowering period, high THC levels, sweet aroma, and impressive yields. Well-balanced hybrid worth exploring.",2.99,,,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/seed-city-bulk-cannabis-seeds/valencia-seeds-runtz,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2Fscbulksmall.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Panty Punch,Seed Stockers,"High THC, easy grow, generous yields. Powerful buds with deep OG Kush aroma. Indica dominant, fruity herbal flavor, relaxing effect.",13.02,,,3 Feminised Seeds (GBP 34.80) | 5 Feminised Seeds (GBP 52.20) | 25 Feminised Seeds (GBP 247.95) | 50 Feminised Seeds (GBP 469.80) | 1 Single Regular Seed (GBP 13.02) | 10 Regular Seeds (GBP 108.43) | 50 Regular Seeds (GBP 515.05) | 100 Regular Seeds (GBP 975.88),https://www.seed-city.com/seed-stockers/panty-punch,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPanty_Punch_628e3f0b16e6b_120x140.png&newxsize=120&newysize=140&fileout=,"Not many feminized indica strains can exceed 30% THC with a 9-10 week bloom time, but Panty Punch Fem is one of the few unique strains that can hit the highest THC levels and still deliver an easy grow experience with generous yields. Panty Punch fem has some illustrious, cannabis cup winning parent genetics that guarantee remarkably powerful buds. A deep OG Kush aroma complements the high cannabinoid content. Popular also with cannabis concentrate makers due to the high concentrate yields.",,,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,Relaxing,"Fruity, Herbal",Relaxing,,Fruity Herbal,Super High (up to 30%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Thunder Banana Auto,Seed Stockers,"High-yielding strain with rapid growth, sweet banana taste, powerful high, and relaxing effects.",25.8,,,3 Feminised Seeds (GBP 25.80) | 5 Feminised Seeds (GBP 38.80) | 25 Feminised Seeds (GBP 184.30) | 50 Feminised Seeds (GBP 349.20),https://www.seed-city.com/seed-stockers/thunder-banana-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FThunder_Banana_A_628e47ab1230a_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Happy, Relaxing","Herbal, Sweet",Happy Chill,,Candy Herbal,Super High (up to 30%),,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Mack & Crack Auto,Seed Stockers,"Rapid growth, high yields, captivating flavors, satisfying high. Versatile, high-quality, must-have for cannabis enthusiasts.",34.8,,,3 Feminised Seeds (GBP 34.80) | 5 Feminised Seeds (GBP 52.20) | 25 Feminised Seeds (GBP 247.95) | 50 Feminised Seeds (GBP 469.80),https://www.seed-city.com/seed-stockers/mack-crack-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FMack___Crack_Aut_628e489e6b42f_120x140.png&newxsize=120&newysize=140&fileout=,"Introducing Mack and Crack Auto by Seed Stockers, the apex of auto-flowering cannabis genetics renowned for its rapid growth, ease of cultivation, and exceptional yields. A cross between robust parent strains, it boasts a pleasing aroma and taste profile, mixing sweet, earthy, and subtle citrus notes. With its high THC content, it offers a potent and balanced high, ideal for relaxation or creative boosts. Adaptable to both indoor and outdoor growing environments, it represents a superb choice for both seasoned and novice cultivators alike.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Cerebral, Relaxing","Berry, Citrus, Dairy, Fuel, Herbal, Skunky, Sweet",Active,,Citrus Herbal,Super High (up to 30%),,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Coco Nibbles,Rare Dankness Seeds,"Hybrid strain with Landrace Malawi, Cindy 99, and Scott's OG genetics. Rich chocolate flavor, thrives in dry areas, produces dense colas.",13.6,,,1 Single Feminised Seed (GBP 13.60) | 6 Feminised Seeds (GBP 68.00) | 30 Feminised Seeds (GBP 323.00) | 60 Feminised Seeds (GBP 612.00) | 12 Regular Seeds (GBP 68.00) | 60 Regular Seeds (GBP 323.00) | 120 Regular Seeds (GBP 612.00),https://www.seed-city.com/rare-dankness-seeds/coco-nibbles,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCoco_Nibbles_62c859cfa394e_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor, Greenhouse",Normal,Euphoric,"Chocolate, Spicy",,,,,,,,,,,Medium (56 to 90 days),,8.5-9 Weeks,,,In Stock,,
Critical Hash Cake Auto,TasteBudz Seeds,"Powerful, relaxing strain with physical effects. Medium size, bushy plant with heavy branches. Flowering time 6-8 weeks, yield up to 800 g/m2. THC 23%.",6.66,8.32,20.0,1 Single Feminised Seed (GBP 6.66) | 3 Feminised Seeds (GBP 16.64) | 5 Feminised Seeds (GBP 23.36) | 10 Feminised Seeds (GBP 40.00) | 50 Feminised Seeds (GBP 190.00) | 100 Feminised Seeds (GBP 360.00),https://www.seed-city.com/tastebudz-seeds/critical-hash-cake-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCritical_Hash_Ca_63bc4ef609c4a_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Body Stone, Relaxing",,,,,23%,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jealousy,Barneys Farm Seeds,"Indica-dominant strain with sweet, fruity aroma. Users experience relaxing, euphoric effects with 29% THC.",29.8,,,3 Feminised Seeds (GBP 29.80) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 66.40) | 50 Feminised Seeds (GBP 315.41) | 100 Feminised Seeds (GBP 597.60),https://www.seed-city.com/barneys-farm-seeds/jealousy,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FJealousy_685a69d5ab9a4_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Feminized,,"Indoor, Outdoor",Super Strength,"Euphoric, Happy, Relaxing, Social","Citrus, Earthy, Fruity, Fuel, Vanilla","Giggly, Relaxed, Happy, Talkative",,,,,,,120-150cm,220cm,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),Middle of October,65 - 70 days,,,In Stock,,
T.N.R.,KC Brains,"Highly resistant indica strain with fast growth rate and high yield. Can reach 4m outdoors, producing up to 1kg per plant by mid-October.",5.4,,,5 Feminised Seeds (GBP 13.80) | 25 Feminised Seeds (GBP 65.55) | 50 Feminised Seeds (GBP 124.20) | 5 Regular Seeds (GBP 5.40) | 25 Regular Seeds (GBP 25.65) | 50 Regular Seeds (GBP 48.60),https://www.seed-city.com/kc-brains/t-n-r,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FT.N.R._5702ce02dd879_120x140.jpg&newxsize=120&newysize=140&fileout=,"K.C. Brains Seeds developed T.N.R., a dominant indica seed, from a cross between a Thai-based strain and K.C.2. This cannabis variety is specially designed for outdoor growth, proving highly resistant to common plant ailments such as mushrooms, pests, and diseases. T.N.R. seeds can produce plants that resemble sativas in appearance, reaching up to 4 meters in height under ideal conditions and yielding enormous colas. Despite their sativa-like appearance, these plants grow faster and yield more, typical of indica varieties, with a flowering period of just 9-12 weeks.",,,"Regular , Feminized",12/12 Photoperiod,Sativa Dominant,,,Outdoor,Super Strength,"Body Stone, Insomnia","Sandalwood, Spicy, Sweet",,,,,,,,,,Short (up to 80cm),,Middle of October,,,,In Stock,,
Purple Haze,White Label Seeds,"Vigorous hybrid with Haze high and Indica resin production. Statuesque plants with dense buds. Dark purple color with rich, sharp smell.",51.4,,,5 Feminised Seeds (GBP 51.40) | 10 Feminised Seeds (GBP 91.00) | 50 Feminised Seeds (GBP 432.25) | 100 Feminised Seeds (GBP 819.00),https://www.seed-city.com/white-label-seeds/purple-haze-x-thai,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple_Haze_56c72114bf6ab_120x140.jpg&newxsize=120&newysize=140&fileout=,"This hybrid cannabis strain amalgamates the uplifting Haze high with the robust resin production of top Indicas, resulting in plants that are aesthetically pleasing yet not exceedingly tall. Purple Haze features a darker foliage, transitioning to lavender or violet under cool conditions late in flowering. Its aroma intensifies significantly from growth to harvest.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,Indoor,Super Strength,,,,,,,,,,,,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),,,,,In Stock,,
Master Kush,White Label Seeds,"Indica strain with high resin, earthy flavor, and physical power. Flowering in 50-55 days, yielding 100g, reaching 110-130cm.",19.4,,,5 Feminised Seeds (GBP 21.00) | 10 Feminised Seeds (GBP 38.00) | 50 Feminised Seeds (GBP 180.50) | 100 Feminised Seeds (GBP 342.00) | 10 Regular Seeds (GBP 19.40) | 50 Regular Seeds (GBP 92.15) | 100 Regular Seeds (GBP 174.60),https://www.seed-city.com/white-label-seeds/master-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FMaster_Kush_56c72112250fa_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,Indica,,,Indoor,Normal,,Hashy,,,,,,,,,,Medium (81cm - 140cm),Short (up to 55 days),,,,,In Stock,,
Purple #1,Dutch Passion Seeds,"Classic strain with purple buds, fast high, unique aroma. Ideal for outdoor growing, medium to large yield in 8 weeks.",30.48,38.1,20.0,10 Regular Seeds (GBP 30.48) | 50 Regular Seeds (GBP 144.78) | 100 Regular Seeds (GBP 274.32),https://www.seed-city.com/dutch-passion-seeds/purple-1,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPurple__1_56a62aff9e916_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,,,"Outdoor, Greenhouse",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,8 Weeks,,,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Pakistan Chitra Kush,Ace Seed bank,"Indica landrace strain from Chitral, Pakistan. High pest resistance. Hash plant effect with sweet scents. Adaptable to climates.",8.76,,,1 Single Regular Seed (GBP 8.76) | 5 Regular Seeds (GBP 36.50) | 10 Regular Seeds (GBP 64.90) | 50 Regular Seeds (GBP 308.28) | 100 Regular Seeds (GBP 584.10),https://www.seed-city.com/ace-seed-bank/pakistan-chitra-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FPakistan_Chitra__5584499357e07_120x140.jpg&newxsize=120&newysize=140&fileout=,"Chitral, known for producing one of the best Pakistani hashes, offers the pure Kush strain, Pakistan Chitral Kush, through ACE Seeds. This strain has been carefully bred since the mid-90s by Cannabiogen, showcasing an indica with a colorful palette, rich tastes, scents, and highly adaptive growth. It boasts a short flowering time, high resin production, and a sought-after hash effect. Unique for its ability to mature under rainy conditions without the rot issues common to Afghani strains, Pakistan Chitral Kush is cherished among indica lovers and for cannabis breeding.",,,Regular,12/12 Photoperiod,Indica,,,"Indoor, Outdoor, Greenhouse",Normal,Relaxing,"Berry, Caramel, Fruity, Strawberry, Sweet",,,,15-18 %,0.07 %,,,,,,Medium (56 to 90 days),The End of September,,,,In Stock,,
Skunk Kush,Sensi Seeds,"Potent strain with thick buds and musky, citrus aroma. Offers powerful body stone with dreamy, giggly high.",9.1,,,3 Feminised Seeds (GBP 27.80) | 10 Feminised Seeds (GBP 85.00) | 50 Feminised Seeds (GBP 403.75) | 100 Feminised Seeds (GBP 765.00) | 1 Single Regular Seed (GBP 9.10) | 10 Regular Seeds (GBP 75.80) | 50 Regular Seeds (GBP 360.05) | 100 Regular Seeds (GBP 682.20),https://www.seed-city.com/sensi-seeds/skunk-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSkunk_Kush_56c71fb29533b_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,,,"Indoor, Greenhouse",Normal,,"Citrus, Grape, Lemon, Minty, Musky",,,,,,,,,,Medium (81cm - 140cm),"Short (up to 55 days), Medium (56 to 90 days)",The End of October,,,,In Stock,,
Shiva Shanti,Sensi Seeds,"Special strain with heavy yield, quick flowering time, stress-free, physical sensation-enhancing effects.",30.4,,,10 Regular Seeds (GBP 30.40) | 50 Regular Seeds (GBP 144.40) | 100 Regular Seeds (GBP 273.60),https://www.seed-city.com/sensi-seeds/shiva-shanti,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FShiva_Shanti_56c71faf7ecb5_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Regular,12/12 Photoperiod,Indica Dominant,,,Indoor,Normal,Relaxing,"Honey, Skunky, Sweet",,,,,,,,,,Medium (81cm - 140cm),Short (up to 55 days),,,,,In Stock,,
Ruderalis Indica,Sensi Seeds,"Hardy strain with high CBD content. Ideal for medicinal users. Regular seeds, compact plant, short flowering time, medium yield, 90% Indica.",2.43,,,1 Single Regular Seed (GBP 2.43) | 10 Regular Seeds (GBP 20.20) | 50 Regular Seeds (GBP 95.95) | 100 Regular Seeds (GBP 181.80),https://www.seed-city.com/sensi-seeds/ruderalis-indica,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRuderalis_Indica_56c71fb0e037c_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Regular,Autoflowering,Indica Dominant,,,Outdoor,Normal,,,,,,,,,,,,,Short (up to 55 days),"Beginning of September, Middle of September, The End of September",,,,In Stock,,Most Popular Cannabis Seeds
